Sta_ID,T_degC
024.0 120.0,8.007142857142856
025.0 111.0,7.411935483870968
026.0 102.0,7.014516129032257
028.0 092.0,6.4751724137931035
029.0 083.0,6.189285714285715
030.0 074.0,6.318148148148148
031.0 065.0,6.626129032258064
033.3 055.0,6.6866666666666665
034.0 046.0,6.74625
035.0 037.0,7.390333333333333
036.0 125.0,7.798518518518518
036.7 115.0,8.206428571428571
039.0 096.0,7.020967741935484
041.0 077.0,7.018666666666666
042.0 068.0,7.395357142857143
044.0 048.5,8.554285714285715
044.0 049.0,7.09074074074074
046.0 143.0,7.8571875
046.7 133.0,7.3432258064516125
048.0 124.0,7.266451612903226
049.0 114.0,7.47703125
050.0 095.0,7.3294915254237285
050.0 104.0,7.853928571428571
051.0 085.0,7.269193548387097
052.0 075.0,6.956507936507936
053.3 066.0,7.4621875
054.0 056.0,7.618448275862069
056.7 136.0,8.719491525423729
056.7 146.0,8.661964285714285
058.0 127.0,8.222096774193549
059.0 107.0,8.162307692307692
059.0 117.0,8.420740740740742
060.0 097.0,7.66921875
061.0 078.0,7.244677419354839
061.0 087.0,7.5765625
062.0 068.0,7.188387096774194
063.3 058.0,7.981607142857143
069.0 125.0,9.238064516129032
069.0 144.0,9.166818181818181
070.0 095.0,9.606666666666667
070.0 105.0,8.053333333333333
070.0 115.0,9.592142857142857
071.0 066.0,7.655645161290322
071.0 076.0,8.00375
071.0 085.0,8.336
072.0 056.0,8.792666666666667
080.0 137.0,8.9109375
080.0 147.0,9.628709677419355
081.0 097.0,9.740727272727273
081.0 107.0,9.160769230769231
081.0 117.0,9.94515625
081.0 127.0,9.621803278688525
082.0 057.0,8.522678571428571
082.0 067.0,9.182
082.0 077.0,9.373928571428571
082.0 087.0,9.088148148148148
082.0 097.0,8.35
092.0 039.0,9.239215686274509
092.0 048.0,10.028085106382978
092.0 058.0,8.442758620689656
092.0 068.0,8.648548387096774
092.0 078.0,9.184237288135593
092.0 088.0,8.88765625
092.0 098.0,8.611612903225806
092.0 108.0,8.435396825396825
092.0 117.0,8.775322580645161
092.0 127.0,10.07948275862069
092.0 137.0,9.563538461538462
101.0 034.0,10.649787234042554
101.0 044.0,9.466612903225805
102.0 054.0,9.0225
102.0 064.0,8.76031746031746
102.0 074.0,10.239090909090908
102.0 084.0,9.589677419354837
102.0 094.0,10.347017543859648
102.0 103.0,9.909310344827587
103.3 111.0,10.813214285714285
103.3 119.0,9.958392857142856
103.3 128.0,10.335645161290323
111.0 038.0,9.404814814814815
111.0 048.0,9.722786885245903
111.0 058.0,10.055238095238096
111.0 068.0,10.295081967213115
112.0 078.0,10.723934426229508
112.0 088.0,9.518064516129032
112.0 098.0,10.415576923076923
112.0 107.0,9.924285714285714
112.0 117.0,9.975999999999999
113.3 127.0,10.522857142857143
113.3 137.0,10.55984126984127
122.0 044.0,9.995409836065575
122.0 053.0,10.842622950819672
123.3 063.0,11.744814814814815
123.3 073.0,10.673409090909091
124.0 083.0,10.462542372881355
124.0 093.0,11.147704918032787
125.0 102.0,11.501774193548387
125.0 112.0,11.700819672131148
126.0 122.0,10.758253968253968
126.0 132.0,10.847636363636363
